Key,english

vehicleTigrJeep,Tigr Jeep
vehicleTigrJeepPlaceable,Tigr Jeep
vehicleTigrJeepChassis,Tigr Jeep Chassis
vehicleTigrJeepAccessories,Tigr Jeep Turret
modVehicleWeaponBurstFire,Vehicle Burst Fire Mod
modVehicleWeaponFullAuto,Vehicle Full Auto Mod
modVehicleWeaponFireDamage,Vehicle Incendiary Ammo Mod
modVehicleWeaponShockDamage,Vehicle Shock Ammo Mod
modVehicleWeaponBurstFireSchematic,Vehicle Burst Fire Mod Schematic
modVehicleWeaponFullAutoSchematic,Vehicle Full Auto Mod Schematic
modVehicleWeaponFireDamageSchematic,Vehicle Incendiary Ammo Mod Schematic
modVehicleWeaponShockDamageSchematic,Vehicle Shock Ammo Mod Schematic
modVehicleWeaponBurstFireDesc,This mod enables burst fire for vehicles with machine guns.
modVehicleWeaponFullAutoDesc,This mod enables full auto fire for vehicles with machine guns.
modVehicleWeaponFireDamageDesc,This mod enables ammo to do fire damage for vehicles with machine guns.
modVehicleWeaponShockDamageDesc,This mod enables ammo to do shock damage for vehicles with machine guns.
vehicleTigrJeepT4,Tier 4: Tigr Jeep
